lon,lat,ele,time,extensions,event,date,hrminsec
-79.52820329926908,8.914994727820158,42,2016-01-31T15:15:19.000Z,84,Run,2016-01-31,2016-01-31T15:15:19Z
-79.52841569669545,8.91501383855939,42.400001525878906,2016-01-31T15:15:25.000Z,84,Run,2016-01-31,2016-01-31T15:15:25Z
-79.52859649434686,8.914977125823498,42.400001525878906,2016-01-31T15:15:30.000Z,84,Run,2016-01-31,2016-01-31T15:15:30Z
-79.52881685458124,8.914984334260225,42.20000076293945,2016-01-31T15:15:36.000Z,84,Run,2016-01-31,2016-01-31T15:15:36Z
-79.5290242228657,8.914975197985768,42.20000076293945,2016-01-31T15:15:42.000Z,84,Run,2016-01-31,2016-01-31T15:15:42Z
-79.52924089506269,8.914976371452212,42.20000076293945,2016-01-31T15:15:48.000Z,84,Run,2016-01-31,2016-01-31T15:15:48Z
-79.52944164164364,8.914948543533683,42.20000076293945,2016-01-31T15:15:54.000Z,84,Run,2016-01-31,2016-01-31T15:15:54Z
-79.52962470240891,8.914950303733349,42.20000076293945,2016-01-31T15:15:59.000Z,84,Run,2016-01-31,2016-01-31T15:15:59Z
-79.52980977483094,8.914951728656888,42.20000076293945,2016-01-31T15:16:04.000Z,84,Run,2016-01-31,2016-01-31T15:16:04Z
-79.53001856803894,8.914970336481929,42.400001525878906,2016-01-31T15:16:10.000Z,84,Run,2016-01-31,2016-01-31T15:16:10Z
-79.53021445311606,8.915010904893279,42.400001525878906,2016-01-31T15:16:16.000Z,84,Run,2016-01-31,2016-01-31T15:16:16Z
-79.53038510866463,8.915076870471239,42.400001525878906,2016-01-31T15:16:21.000Z,84,Run,2016-01-31,2016-01-31T15:16:21Z
-79.53057831153274,8.915169406682253,42.599998474121094,2016-01-31T15:16:27.000Z,84,Run,2016-01-31,2016-01-31T15:16:27Z
-79.53075701370835,8.91523377969861,42.79999923706055,2016-01-31T15:16:32.000Z,84,Run,2016-01-31,2016-01-31T15:16:32Z
-79.53094518743455,8.915334278717637,43,2016-01-31T15:16:38.000Z,85,Run,2016-01-31,2016-01-31T15:16:38Z
-79.53108902089298,8.915401250123978,43.20000076293945,2016-01-31T15:16:43.000Z,83,Run,2016-01-31,2016-01-31T15:16:43Z
-79.53126445412636,8.915509711951017,43,2016-01-31T15:16:49.000Z,84,Run,2016-01-31,2016-01-31T15:16:49Z
-79.531419435516,8.915614737197757,43.20000076293945,2016-01-31T15:16:54.000Z,84,Run,2016-01-31,2016-01-31T15:16:54Z
-79.53158598393202,8.915741555392742,43,2016-01-31T15:17:00.000Z,84,Run,2016-01-31,2016-01-31T15:17:00Z
-79.53173811547458,8.915857477113605,43,2016-01-31T15:17:05.000Z,84,Run,2016-01-31,2016-01-31T15:17:05Z
-79.53188521787524,8.915980439633131,43,2016-01-31T15:17:10.000Z,84,Run,2016-01-31,2016-01-31T15:17:10Z
-79.53205025754869,8.916115639731288,43,2016-01-31T15:17:16.000Z,86,Run,2016-01-31,2016-01-31T15:17:16Z
-79.53220255672932,8.916260227560997,43,2016-01-31T15:17:22.000Z,85,Run,2016-01-31,2016-01-31T15:17:22Z
-79.53235410153866,8.916409173980355,43,2016-01-31T15:17:28.000Z,84,Run,2016-01-31,2016-01-31T15:17:28Z
-79.5324794948101,8.916546972468495,42.599998474121094,2016-01-31T15:17:33.000Z,84,Run,2016-01-31,2016-01-31T15:17:33Z
-79.53259935602546,8.91669675707817,43,2016-01-31T15:17:39.000Z,84,Run,2016-01-31,2016-01-31T15:17:39Z
-79.53272533603013,8.91684578731656,48,2016-01-31T15:17:44.000Z,86,Run,2016-01-31,2016-01-31T15:17:44Z
-79.53274830244482,8.916869508102536,45.79999923706055,2016-01-31T15:17:45.000Z,85,Run,2016-01-31,2016-01-31T15:17:45Z
-79.53277898021042,8.916898677125573,44,2016-01-31T15:17:46.000Z,85,Run,2016-01-31,2016-01-31T15:17:46Z
-79.53282390721142,8.9169439394027,43,2016-01-31T15:17:48.000Z,85,Run,2016-01-31,2016-01-31T15:17:48Z
-79.53284620307386,8.91696447506547,44,2016-01-31T15:17:49.000Z,86,Run,2016-01-31,2016-01-31T15:17:49Z
-79.53288635239005,8.91700361855328,41.599998474121094,2016-01-31T15:17:51.000Z,86,Run,2016-01-31,2016-01-31T15:17:51Z
-79.53290378674865,8.91702457331121,44.599998474121094,2016-01-31T15:17:52.000Z,86,Run,2016-01-31,2016-01-31T15:17:52Z
-79.53294728882611,8.917065309360623,41.79999923706055,2016-01-31T15:17:54.000Z,83,Run,2016-01-31,2016-01-31T15:17:54Z
-79.53299875371158,8.91710378229618,46.599998474121094,2016-01-31T15:17:56.000Z,84,Run,2016-01-31,2016-01-31T15:17:56Z
-79.53304502181709,8.91713454388082,49.20000076293945,2016-01-31T15:17:58.000Z,84,Run,2016-01-31,2016-01-31T15:17:58Z
-79.53321693465114,8.917240994051099,49.20000076293945,2016-01-31T15:18:04.000Z,85,Run,2016-01-31,2016-01-31T15:18:04Z
-79.53338348306715,8.917348450049758,48.599998474121094,2016-01-31T15:18:10.000Z,84,Run,2016-01-31,2016-01-31T15:18:10Z
-79.53341064043343,8.917369823902845,47.79999923706055,2016-01-31T15:18:11.000Z,84,Run,2016-01-31,2016-01-31T15:18:11Z
-79.53349152579904,8.917441070079803,49,2016-01-31T15:18:14.000Z,84,Run,2016-01-31,2016-01-31T15:18:14Z
-79.53357534483075,8.91752002760768,47.79999923706055,2016-01-31T15:18:17.000Z,84,Run,2016-01-31,2016-01-31T15:18:17Z
-79.53372345305979,8.917640475556254,46.400001525878906,2016-01-31T15:18:22.000Z,84,Run,2016-01-31,2016-01-31T15:18:22Z
-79.53385462984443,8.917776849120855,47.400001525878906,2016-01-31T15:18:27.000Z,84,Run,2016-01-31,2016-01-31T15:18:27Z
-79.533985638991,8.917909367009997,46.400001525878906,2016-01-31T15:18:32.000Z,84,Run,2016-01-31,2016-01-31T15:18:32Z
-79.53410072252154,8.918055463582277,46.599998474121094,2016-01-31T15:18:37.000Z,84,Run,2016-01-31,2016-01-31T15:18:37Z
-79.53419250436127,8.918158309534192,44.599998474121094,2016-01-31T15:18:41.000Z,84,Run,2016-01-31,2016-01-31T15:18:41Z
-79.53421488404274,8.918183790519834,43,2016-01-31T15:18:42.000Z,84,Run,2016-01-31,2016-01-31T15:18:42Z
-79.53436299227178,8.918341789394617,42.20000076293945,2016-01-31T15:18:48.000Z,84,Run,2016-01-31,2016-01-31T15:18:48Z
-79.53449090011418,8.918486377224326,42,2016-01-31T15:18:53.000Z,84,Run,2016-01-31,2016-01-31T15:18:53Z
